ID,AG,Gender,Scale,Relationship,sleep_hours,How_you_are_feeling?,How_do_you_describe_your_current_mood?,How_often_do_you_take_caffeine,Do_you_face_trouble_concentrating_or_focusing_on_stuffs?,Overthinking_a_lot_about_the_things_surrounding_us?
1,2,1,3,2,2,1,3,1,1,1
2,2,1,4,2,2,2,2,2,3,2
3,2,1,5,1,3,3,2,1,3,4
4,2,1,5,1,3,3,2,1,3,4
5,2,1,4,2,3,4,3,1,1,2
6,2,2,3,2,3,4,2,1,3,3
7,2,2,5,2,3,1,2,1,3,4
8,2,2,5,1,3,4,4,3,3,3
9,2,1,4,2,3,3,2,4,3,2
10,2,3,3,3,3,3,3,2,3,3
11,2,1,4,2,3,2,3,2,3,4
12,2,1,4,2,3,4,2,1,1,2
13,2,1,3,2,2,1,3,4,3,2
14,2,1,3,2,2,1,3,4,3,2
15,2,2,3,2,3,4,3,1,3,5
16,1,2,3,2,3,1,2,2,1,2
17,2,2,4,2,3,1,3,1,3,4
18,2,2,4,2,3,4,1,4,3,2
19,1,1,3,2,4,1,4,2,3,2
20,2,2,3,2,3,3,3,1,3,4
21,3,1,5,2,3,3,2,1,3,3
22,2,2,3,2,3,1,3,3,1,2
23,2,1,2,2,3,1,1,4,3,2
24,2,2,4,2,3,2,2,1,3,3
25,2,1,5,2,3,2,2,4,3,5
26,1,2,5,2,2,1,3,1,3,2
27,2,1,4,2,3,2,2,4,2,4
28,2,1,4,2,3,1,3,4,2,2
29,1,1,2,2,2,4,3,3,3,4
30,2,2,4,2,3,1,3,2,3,3
31,1,1,3,2,3,1,3,1,3,3
32,2,1,5,2,3,3,2,2,3,3
33,2,1,3,2,3,3,3,2,3,3
34,2,1,4,2,2,1,3,2,3,2
35,2,1,2,2,2,4,3,3,3,5
36,2,1,3,2,3,4,3,1,1,4
37,2,1,4,2,3,1,1,1,3,3
38,2,2,4,1,2,1,2,2,3,3
39,2,1,5,2,3,3,2,1,3,2
40,2,1,5,2,3,3,4,3,2,4
41,2,1,2,2,2,4,1,4,3,2
42,2,2,3,2,2,1,4,2,3,2
43,2,1,3,2,2,4,3,1,1,2
44,2,1,1,2,3,1,4,2,1,5
45,2,1,4,2,2,4,1,4,1,5
46,2,1,1,4,1,1,3,2,1,5
47,2,1,4,2,2,1,2,3,3,3
48,2,1,1,2,2,2,2,4,3,3
49,2,2,2,2,3,4,4,2,3,2
50,2,1,3,2,2,1,3,2,3,2
51,2,1,4,2,2,1,2,1,1,2
52,1,2,3,2,3,1,3,2,3,5
53,2,1,3,2,2,3,3,3,3,2
54,2,1,2,2,3,4,2,3,1,5
55,2,1,4,2,2,1,3,2,1,2
56,2,1,3,2,3,2,2,3,3,5
57,2,2,2,2,3,1,2,1,3,3
58,2,2,4,2,3,1,3,4,3,4
59,2,2,3,2,2,4,4,2,1,2
60,2,2,4,2,2,1,3,2,1,5
61,2,2,3,2,3,1,4,2,1,2
62,2,1,2,4,3,4,3,1,1,5
63,2,1,3,2,3,4,1,1,3,5
64,2,2,4,2,2,1,3,4,3,4
65,2,1,5,2,3,2,2,1,3,4
66,2,1,4,2,2,2,2,4,2,3
67,2,1,4,2,3,2,2,3,2,5
68,2,1,3,2,2,4,3,1,3,2
69,2,1,1,2,4,4,4,3,3,2
70,2,2,3,2,3,1,2,2,3,5
71,2,1,5,1,3,2,3,1,3,3
72,2,2,2,2,3,1,3,1,3,2
73,2,1,4,2,4,4,3,3,3,3
74,2,1,5,2,2,1,2,2,3,4
75,2,2,3,2,3,2,2,3,3,2
76,2,2,4,2,3,1,3,1,3,3
77,2,1,5,2,2,2,2,4,2,2
78,2,1,5,3,1,4,2,4,1,4
79,2,2,3,1,3,1,3,3,3,3
80,2,1,3,1,3,1,4,4,3,5
81,2,1,4,2,4,4,4,1,1,3
82,2,2,4,2,3,3,2,3,3,2
83,2,1,1,3,1,4,1,1,1,5
84,2,1,1,2,1,1,3,4,2,3
85,2,1,3,2,3,4,3,1,3,2
86,2,1,5,2,3,2,2,1,2,3
87,2,2,3,2,3,3,2,1,3,4
88,2,2,4,2,3,2,3,2,3,5
89,2,2,3,2,2,1,3,3,2,2
90,2,2,3,2,2,1,3,1,3,2
91,2,2,5,1,2,2,3,4,3,3
92,2,1,5,2,3,2,2,4,3,4
93,2,1,3,2,3,1,1,3,3,3
94,2,2,4,1,4,4,3,1,3,3
95,2,1,1,3,1,1,3,4,2,5
96,2,1,3,4,2,1,3,4,3,2
97,2,1,1,3,1,4,4,4,1,5
98,2,2,2,2,4,2,3,4,1,5
99,5,1,3,5,3,2,3,4,3,4
100,2,1,5,1,3,2,2,1,3,3
101,2,1,5,2,3,1,3,2,3,5
102,2,2,3,2,3,1,3,1,3,3
103,2,1,4,2,3,1,3,3,3,2
104,2,2,5,1,3,1,2,1,3,3
105,2,1,4,2,3,1,3,3,3,3
106,2,1,1,4,3,1,3,1,3,5
107,2,1,5,2,3,2,2,3,1,2
108,2,1,4,2,3,1,2,1,3,3
109,2,1,4,2,2,3,2,2,3,5
110,2,1,5,2,2,4,3,1,3,2
111,2,1,4,2,3,4,3,2,2,4
112,2,1,3,2,3,1,3,4,3,3
113,2,1,3,2,3,1,3,1,3,3
114,2,1,4,1,1,4,4,4,3,2
115,2,1,3,2,3,1,3,1,1,2
116,2,1,4,2,2,4,1,4,3,5
117,2,1,4,2,3,3,3,4,3,3
118,1,1,3,2,2,3,2,3,3,2
119,2,1,4,2,3,3,2,4,3,3
120,2,1,4,2,3,4,3,1,3,5
121,2,1,5,2,3,3,3,4,3,5
122,2,1,5,1,3,2,2,2,2,4
123,2,1,3,2,3,4,3,4,1,2
124,2,1,3,2,2,2,2,3,3,3
125,1,2,1,2,3,1,3,3,3,3
126,2,1,3,1,3,1,3,4,3,2
127,2,1,2,2,3,1,3,2,3,2
128,2,1,3,2,3,1,3,4,3,5
129,2,1,4,2,3,1,2,1,3,2
130,2,2,3,2,2,1,3,4,2,5
131,2,2,3,2,2,1,1,4,1,5
132,2,2,3,2,2,1,1,4,1,5
133,2,2,2,2,4,1,3,1,3,3
134,2,1,3,2,2,1,1,2,3,5
135,1,1,5,2,3,3,2,1,3,4
136,1,1,1,3,1,4,4,4,1,4
137,2,1,1,2,2,1,1,4,2,2
138,2,1,3,2,3,1,3,1,3,2
139,2,1,3,2,2,1,2,2,3,2
140,2,1,3,1,3,1,3,1,1,2
141,2,1,1,2,3,4,4,2,1,5
142,1,1,4,1,3,4,3,4,3,5
143,2,1,4,1,2,3,1,3,3,4
144,2,1,5,2,3,4,1,4,1,3
145,2,1,4,2,3,2,2,1,2,4
146,2,1,4,2,4,1,4,3,1,3
147,2,1,2,2,3,1,3,4,1,5
148,2,1,5,1,2,1,3,3,3,5
149,2,2,3,2,2,1,1,2,1,5
150,2,1,4,2,2,3,3,2,3,3
151,2,1,3,1,2,4,1,4,1,5
152,2,2,5,2,2,1,2,1,3,3
153,2,1,5,1,2,2,2,1,3,2
154,2,1,3,2,3,3,3,4,3,3
155,2,2,3,2,4,1,3,2,1,5
156,2,1,1,2,3,1,4,4,1,5
157,2,1,3,2,3,4,2,4,3,3
158,1,1,3,1,3,3,3,3,3,2
159,2,1,5,1,3,2,2,4,3,3
160,2,2,4,1,2,1,3,3,3,5
161,1,2,4,1,3,1,3,4,1,2
162,2,1,2,2,2,1,1,2,1,5
163,1,2,3,2,3,1,3,1,3,2
164,2,1,4,2,3,1,3,4,3,3
165,2,1,5,2,3,3,2,1,3,3
166,2,1,4,2,2,2,3,4,3,3
167,2,1,1,2,3,1,4,4,3,3
168,2,1,3,2,3,1,4,4,1,3
169,2,2,4,1,3,2,2,2,3,4
170,2,1,1,4,4,4,1,4,1,5
171,2,1,3,2,3,1,1,1,3,3
172,5,4,1,3,1,4,4,4,2,5
173,1,1,3,2,4,3,2,4,3,2
174,2,1,3,2,3,2,2,1,3,4
175,2,2,3,2,3,1,3,3,3,3
176,2,1,4,2,3,4,3,3,2,4
177,2,1,4,2,2,4,3,2,3,5
178,2,1,4,2,4,4,1,4,3,5
179,2,1,5,2,3,3,2,2,2,4
180,2,1,1,2,3,4,4,2,1,5
181,3,1,5,1,3,3,2,3,3,4
182,2,1,3,2,3,1,4,3,3,4
183,5,1,5,5,1,2,2,4,2,4
184,3,1,4,2,2,1,3,1,3,2
185,2,1,4,2,3,2,2,2,3,2
186,4,2,5,5,3,2,2,4,3,4
187,3,1,4,2,3,4,2,3,3,3
188,2,1,4,2,3,1,4,3,2,5
189,2,1,3,2,2,1,3,1,1,1
190,2,1,4,2,2,2,2,2,3,2
191,2,1,5,1,3,3,2,1,3,4
192,2,1,5,1,3,3,2,1,3,4
193,2,1,4,2,3,4,3,1,1,2
194,2,2,3,2,3,4,2,1,3,3
195,2,2,5,2,3,1,2,1,3,4
196,2,2,5,1,3,4,4,3,3,3
197,2,1,4,2,3,3,2,4,3,2
198,2,3,3,3,3,3,3,2,3,3
199,2,1,4,2,3,2,3,2,3,4
200,2,1,4,2,3,4,2,1,1,2
201,2,1,3,2,2,1,3,4,3,2
202,2,1,3,2,2,1,3,4,3,2
203,2,2,3,2,3,4,3,1,3,5
204,1,2,3,2,3,1,2,2,1,2
205,2,2,4,2,3,1,3,1,3,4
206,2,2,4,2,3,4,1,4,3,2
207,1,1,3,2,4,1,4,2,3,2
208,2,2,3,2,3,3,3,1,3,4
209,3,1,5,2,3,3,2,1,3,3
210,2,2,3,2,3,1,3,3,1,2
211,2,1,2,2,3,1,1,4,3,2
212,2,2,4,2,3,2,2,1,3,3
213,2,1,5,2,3,2,2,4,3,5
214,1,2,5,2,2,1,3,1,3,2
215,2,1,4,2,3,2,2,4,2,4
216,2,1,4,2,3,1,3,4,2,2
217,1,1,2,2,2,4,3,3,3,4
218,2,2,4,2,3,1,3,2,3,3
219,1,1,3,2,3,1,3,1,3,3
220,2,1,5,2,3,3,2,2,3,3
221,2,1,3,2,3,3,3,2,3,3
222,2,1,4,2,2,1,3,2,3,2
223,2,1,2,2,2,4,3,3,3,5
224,2,1,3,2,3,4,3,1,1,4
225,2,1,4,2,3,1,1,1,3,3
226,2,2,4,1,2,1,2,2,3,3
227,2,1,5,2,3,3,2,1,3,2
228,2,1,5,2,3,3,4,3,2,4
229,2,1,2,2,2,4,1,4,3,2
230,2,2,3,2,2,1,4,2,3,2
231,2,1,3,2,2,4,3,1,1,2
232,2,1,1,2,3,1,4,2,1,5
233,2,1,4,2,2,4,1,4,1,5
234,2,1,1,4,1,1,3,2,1,5
235,2,1,4,2,2,1,2,3,3,3
236,2,1,1,2,2,2,2,4,3,3
237,2,2,2,2,3,4,4,2,3,2
238,2,1,3,2,2,1,3,2,3,2
239,2,1,4,2,2,1,2,1,1,2
240,1,2,3,2,3,1,3,2,3,5
241,2,1,3,2,2,3,3,3,3,2
242,2,1,2,2,3,4,2,3,1,5
243,2,1,4,2,2,1,3,2,1,2
244,2,1,3,2,3,2,2,3,3,5
245,2,2,2,2,3,1,2,1,3,3
246,2,2,4,2,3,1,3,4,3,4
247,2,2,3,2,2,4,4,2,1,2
248,2,2,4,2,2,1,3,2,1,5
249,2,2,3,2,3,1,4,2,1,2
250,2,1,2,4,3,4,3,1,1,5
251,2,1,3,2,3,4,1,1,3,5
252,2,2,4,2,2,1,3,4,3,4
253,2,1,5,2,3,2,2,1,3,4
254,2,1,4,2,2,2,2,4,2,3
255,2,1,4,2,3,2,2,3,2,5
256,2,1,3,2,2,4,3,1,3,2
257,2,1,1,2,4,4,4,3,3,2
258,2,2,3,2,3,1,2,2,3,5
259,2,1,5,1,3,2,3,1,3,3
260,2,2,2,2,3,1,3,1,3,2
261,2,1,4,2,4,4,3,3,3,3
262,2,1,5,2,2,1,2,2,3,4
263,2,2,3,2,3,2,2,3,3,2
264,2,2,4,2,3,1,3,1,3,3
265,2,1,5,2,2,2,2,4,2,2
266,2,1,5,3,1,4,2,4,1,4
267,2,2,3,1,3,1,3,3,3,3
268,2,1,3,1,3,1,4,4,3,5
269,2,1,4,2,4,4,4,1,1,3
270,2,2,4,2,3,3,2,3,3,2
271,2,1,1,3,1,4,1,1,1,5
272,2,1,1,2,1,1,3,4,2,3
273,2,1,3,2,3,4,3,1,3,2
274,2,1,5,2,3,2,2,1,2,3
275,2,2,3,2,3,3,2,1,3,4
276,2,2,4,2,3,2,3,2,3,5
277,2,2,3,2,2,1,3,3,2,2
278,2,2,3,2,2,1,3,1,3,2
279,2,2,5,1,2,2,3,4,3,3
280,2,1,5,2,3,2,2,4,3,4
281,2,1,3,2,3,1,1,3,3,3
282,2,2,4,1,4,4,3,1,3,3
283,2,1,1,3,1,1,3,4,2,5
284,2,1,3,4,2,1,3,4,3,2
285,2,1,1,3,1,4,4,4,1,5
286,2,2,2,2,4,2,3,4,1,5
287,5,1,3,5,3,2,3,4,3,4
288,2,1,5,1,3,2,2,1,3,3
289,2,1,5,2,3,1,3,2,3,5
290,2,2,3,2,3,1,3,1,3,3
291,2,1,4,2,3,1,3,3,3,2
292,2,2,5,1,3,1,2,1,3,3
293,2,1,4,2,3,1,3,3,3,3
294,2,1,1,4,3,1,3,1,3,5
295,2,1,5,2,3,2,2,3,1,2
296,2,1,4,2,3,1,2,1,3,3
297,2,1,4,2,2,3,2,2,3,5
298,2,1,5,2,2,4,3,1,3,2
299,2,1,4,2,3,4,3,2,2,4
300,2,1,3,2,3,1,3,4,3,3
301,2,1,3,2,3,1,3,1,3,3
302,2,1,4,1,1,4,4,4,3,2
303,2,1,3,2,3,1,3,1,1,2
304,2,1,4,2,2,4,1,4,3,5
305,2,1,4,2,3,3,3,4,3,3
306,1,1,3,2,2,3,2,3,3,2
307,2,1,4,2,3,3,2,4,3,3
308,2,1,4,2,3,4,3,1,3,5
309,2,1,5,2,3,3,3,4,3,5
310,2,1,5,1,3,2,2,2,2,4
311,2,1,3,2,3,4,3,4,1,2
312,2,1,3,2,2,2,2,3,3,3
313,1,2,1,2,3,1,3,3,3,3
314,2,1,3,1,3,1,3,4,3,2
315,2,1,2,2,3,1,3,2,3,2
316,2,1,3,2,3,1,3,4,3,5
317,2,1,4,2,3,1,2,1,3,2
318,2,2,3,2,2,1,3,4,2,5
319,2,2,3,2,2,1,1,4,1,5
320,2,2,3,2,2,1,1,4,1,5
321,2,2,2,2,4,1,3,1,3,3
322,2,1,3,2,2,1,1,2,3,5
323,1,1,5,2,3,3,2,1,3,4
324,1,1,1,3,1,4,4,4,1,4
325,2,1,1,2,2,1,1,4,2,2
326,2,1,3,2,3,1,3,1,3,2
327,2,1,3,2,2,1,2,2,3,2
328,2,1,3,1,3,1,3,1,1,2
329,2,1,1,2,3,4,4,2,1,5
330,1,1,4,1,3,4,3,4,3,5
331,2,1,4,1,2,3,1,3,3,4
332,2,1,5,2,3,4,1,4,1,3
333,2,1,4,2,3,2,2,1,2,4
334,2,1,4,2,4,1,4,3,1,3
335,2,1,2,2,3,1,3,4,1,5
336,2,1,5,1,2,1,3,3,3,5
337,2,2,3,2,2,1,1,2,1,5
338,2,1,4,2,2,3,3,2,3,3
339,2,1,3,1,2,4,1,4,1,5
340,2,2,5,2,2,1,2,1,3,3
341,2,1,5,1,2,2,2,1,3,2
342,2,1,3,2,3,3,3,4,3,3
343,2,2,3,2,4,1,3,2,1,5
344,2,1,1,2,3,1,4,4,1,5
345,2,1,3,2,3,4,2,4,3,3
346,1,1,3,1,3,3,3,3,3,2
347,2,1,5,1,3,2,2,4,3,3
