ID,AG,Gender,Scale,Relationship,sleep_hours,How_you_are_feeling?,How_do_you_describe_your_current_mood?,How_often_do_you_take_caffeine,Do_you_face_trouble_concentrating_or_focusing_on_stuffs?,Overthinking_a_lot_about_the_things_surrounding_us?
348,2,2,4,1,2,1,3,3,3,5
349,1,2,4,1,3,1,3,4,1,2
350,2,1,2,2,2,1,1,2,1,5
351,1,2,3,2,3,1,3,1,3,2
352,2,1,4,2,3,1,3,4,3,3
353,2,1,5,2,3,3,2,1,3,3
354,2,1,4,2,2,2,3,4,3,3
355,2,1,1,2,3,1,4,4,3,3
356,2,1,3,2,3,1,4,4,1,3
357,2,2,4,1,3,2,2,2,3,4
358,2,1,1,4,4,4,1,4,1,5
359,2,1,3,2,3,1,1,1,3,3
360,5,4,1,3,1,4,4,4,2,5
361,1,1,3,2,4,3,2,4,3,2
362,2,1,3,2,3,2,2,1,3,4
363,2,2,3,2,3,1,3,3,3,3
364,2,1,4,2,3,4,3,3,2,4
365,2,1,4,2,2,4,3,2,3,5
366,2,1,4,2,4,4,1,4,3,5
367,2,1,5,2,3,3,2,2,2,4
368,2,1,1,2,3,4,4,2,1,5
369,3,1,5,1,3,3,2,3,3,4
370,2,1,3,2,3,1,4,3,3,4
371,5,1,5,5,1,2,2,4,2,4
372,3,1,4,2,2,1,3,1,3,2
373,2,1,4,2,3,2,2,2,3,2
374,4,2,5,5,3,2,2,4,3,4
375,3,1,4,2,3,4,2,3,3,3
376,2,1,4,2,3,1,4,3,2,5
377,2,1,3,2,2,1,3,1,1,1
378,2,1,4,2,2,2,2,2,3,2
379,2,1,5,1,3,3,2,1,3,4
380,2,1,5,1,3,3,2,1,3,4
381,2,1,4,2,3,4,3,1,1,2
382,2,2,3,2,3,4,2,1,3,3
383,2,2,5,2,3,1,2,1,3,4
384,2,2,5,1,3,4,4,3,3,3
385,2,1,4,2,3,3,2,4,3,2
386,2,3,3,3,3,3,3,2,3,3
387,2,1,4,2,3,2,3,2,3,4
388,2,1,4,2,3,4,2,1,1,2
389,2,1,3,2,2,1,3,4,3,2
390,2,1,3,2,2,1,3,4,3,2
391,2,2,3,2,3,4,3,1,3,5
392,1,2,3,2,3,1,2,2,1,2
393,2,2,4,2,3,1,3,1,3,4
394,2,2,4,2,3,4,1,4,3,2
395,1,1,3,2,4,1,4,2,3,2
396,2,2,3,2,3,3,3,1,3,4
397,3,1,5,2,3,3,2,1,3,3
398,2,2,3,2,3,1,3,3,1,2
399,2,1,2,2,3,1,1,4,3,2
400,2,2,4,2,3,2,2,1,3,3
401,2,1,5,2,3,2,2,4,3,5
402,1,2,5,2,2,1,3,1,3,2
403,2,1,4,2,3,2,2,4,2,4
404,2,1,4,2,3,1,3,4,2,2
405,1,1,2,2,2,4,3,3,3,4
406,2,2,4,2,3,1,3,2,3,3
407,1,1,3,2,3,1,3,1,3,3
408,2,1,5,2,3,3,2,2,3,3
409,2,1,3,2,3,3,3,2,3,3
410,2,1,4,2,2,1,3,2,3,2
411,2,1,2,2,2,4,3,3,3,5
412,2,1,3,2,3,4,3,1,1,4
413,2,1,4,2,3,1,1,1,3,3
414,2,2,4,1,2,1,2,2,3,3
415,2,1,5,2,3,3,2,1,3,2
416,2,1,5,2,3,3,4,3,2,4
417,2,1,2,2,2,4,1,4,3,2
418,2,2,3,2,2,1,4,2,3,2
419,2,1,3,2,2,4,3,1,1,2
420,2,1,1,2,3,1,4,2,1,5
421,2,1,4,2,2,4,1,4,1,5
422,2,1,1,4,1,1,3,2,1,5
423,2,1,4,2,2,1,2,3,3,3
424,2,1,1,2,2,2,2,4,3,3
425,2,2,2,2,3,4,4,2,3,2
426,2,1,3,2,2,1,3,2,3,2
427,2,1,4,2,2,1,2,1,1,2
428,1,2,3,2,3,1,3,2,3,5
429,2,1,3,2,2,3,3,3,3,2
430,2,1,2,2,3,4,2,3,1,5
431,2,1,4,2,2,1,3,2,1,2
432,2,1,3,2,3,2,2,3,3,5
433,2,2,2,2,3,1,2,1,3,3
434,2,2,4,2,3,1,3,4,3,4
435,2,2,3,2,2,4,4,2,1,2
436,2,2,4,2,2,1,3,2,1,5
437,2,2,3,2,3,1,4,2,1,2
438,2,1,2,4,3,4,3,1,1,5
439,2,1,3,2,3,4,1,1,3,5
440,2,2,4,2,2,1,3,4,3,4
441,2,1,5,2,3,2,2,1,3,4
442,2,1,4,2,2,2,2,4,2,3
443,2,1,4,2,3,2,2,3,2,5
444,2,1,3,2,2,4,3,1,3,2
445,2,1,1,2,4,4,4,3,3,2
446,2,2,3,2,3,1,2,2,3,5
447,2,1,5,1,3,2,3,1,3,3
448,2,2,2,2,3,1,3,1,3,2
449,2,1,4,2,4,4,3,3,3,3
450,2,1,5,2,2,1,2,2,3,4
451,2,2,3,2,3,2,2,3,3,2
452,2,2,4,2,3,1,3,1,3,3
453,2,1,5,2,2,2,2,4,2,2
454,2,1,5,3,1,4,2,4,1,4
455,2,2,3,1,3,1,3,3,3,3
456,2,1,3,1,3,1,4,4,3,5
457,2,1,4,2,4,4,4,1,1,3
458,2,2,4,2,3,3,2,3,3,2
459,2,1,1,3,1,4,1,1,1,5
460,2,1,1,2,1,1,3,4,2,3
461,2,1,3,2,3,4,3,1,3,2
462,2,1,5,2,3,2,2,1,2,3
463,2,2,3,2,3,3,2,1,3,4
464,2,2,4,2,3,2,3,2,3,5
465,2,2,3,2,2,1,3,3,2,2
466,2,2,3,2,2,1,3,1,3,2
467,2,2,5,1,2,2,3,4,3,3
468,2,1,5,2,3,2,2,4,3,4
469,2,1,3,2,3,1,1,3,3,3
470,2,2,4,1,4,4,3,1,3,3
471,2,1,1,3,1,1,3,4,2,5
472,2,1,3,4,2,1,3,4,3,2
473,2,1,1,3,1,4,4,4,1,5
474,2,2,2,2,4,2,3,4,1,5
475,5,1,3,5,3,2,3,4,3,4
476,2,1,5,1,3,2,2,1,3,3
477,2,1,5,2,3,1,3,2,3,5
478,2,2,3,2,3,1,3,1,3,3
479,2,1,4,2,3,1,3,3,3,2
480,2,2,5,1,3,1,2,1,3,3
481,2,1,4,2,3,1,3,3,3,3
482,2,1,1,4,3,1,3,1,3,5
483,2,1,5,2,3,2,2,3,1,2
484,2,1,4,2,3,1,2,1,3,3
485,2,1,4,2,2,3,2,2,3,5
486,2,1,5,2,2,4,3,1,3,2
487,2,1,4,2,3,4,3,2,2,4
488,2,1,3,2,3,1,3,4,3,3
489,2,1,3,2,3,1,3,1,3,3
490,2,1,4,1,1,4,4,4,3,2
491,2,1,3,2,3,1,3,1,1,2
492,2,1,4,2,2,4,1,4,3,5
493,2,1,4,2,3,3,3,4,3,3
494,1,1,3,2,2,3,2,3,3,2
495,2,1,4,2,3,3,2,4,3,3
496,2,1,4,2,3,4,3,1,3,5
497,2,1,5,2,3,3,3,4,3,5
498,2,1,5,1,3,2,2,2,2,4
499,2,1,3,2,3,4,3,4,1,2
500,2,1,3,2,2,2,2,3,3,3
501,1,2,1,2,3,1,3,3,3,3
502,2,1,3,1,3,1,3,4,3,2
503,2,1,2,2,3,1,3,2,3,2
504,2,1,3,2,3,1,3,4,3,5
505,2,1,4,2,3,1,2,1,3,2
506,2,2,3,2,2,1,3,4,2,5
507,2,2,3,2,2,1,1,4,1,5
508,2,2,3,2,2,1,1,4,1,5
509,2,2,2,2,4,1,3,1,3,3
510,2,1,3,2,2,1,1,2,3,5
511,1,1,5,2,3,3,2,1,3,4
512,1,1,1,3,1,4,4,4,1,4
513,2,1,1,2,2,1,1,4,2,2
514,2,1,3,2,3,1,3,1,3,2
515,2,1,3,2,2,1,2,2,3,2
516,2,1,3,1,3,1,3,1,1,2
517,2,1,1,2,3,4,4,2,1,5
518,1,1,4,1,3,4,3,4,3,5
519,2,1,4,1,2,3,1,3,3,4
520,2,1,5,2,3,4,1,4,1,3
521,2,1,4,2,3,2,2,1,2,4
522,2,1,4,2,4,1,4,3,1,3
523,2,1,2,2,3,1,3,4,1,5
524,2,1,5,1,2,1,3,3,3,5
525,2,2,3,2,2,1,1,2,1,5
526,2,1,4,2,2,3,3,2,3,3
527,2,1,3,1,2,4,1,4,1,5
528,2,2,5,2,2,1,2,1,3,3
529,2,1,5,1,2,2,2,1,3,2
530,2,1,3,2,3,3,3,4,3,3
531,2,2,3,2,4,1,3,2,1,5
532,2,1,1,2,3,1,4,4,1,5
533,2,1,3,2,3,4,2,4,3,3
534,1,1,3,1,3,3,3,3,3,2
535,2,1,5,1,3,2,2,4,3,3
536,2,2,4,1,2,1,3,3,3,5
537,1,2,4,1,3,1,3,4,1,2
538,2,1,2,2,2,1,1,2,1,5
539,1,2,3,2,3,1,3,1,3,2
540,2,1,4,2,3,1,3,4,3,3
541,2,1,5,2,3,3,2,1,3,3
542,2,1,4,2,2,2,3,4,3,3
543,2,1,1,2,3,1,4,4,3,3
544,2,1,3,2,3,1,4,4,1,3
545,2,2,4,1,3,2,2,2,3,4
546,2,1,1,4,4,4,1,4,1,5
547,2,1,3,2,3,1,1,1,3,3
548,5,4,1,3,1,4,4,4,2,5
549,1,1,3,2,4,3,2,4,3,2
550,2,1,3,2,3,2,2,1,3,4
551,2,2,3,2,3,1,3,3,3,3
552,2,1,4,2,3,4,3,3,2,4
553,2,1,4,2,2,4,3,2,3,5
554,2,1,4,2,4,4,1,4,3,5
555,2,1,5,2,3,3,2,2,2,4
556,2,1,1,2,3,4,4,2,1,5
557,3,1,5,1,3,3,2,3,3,4
558,2,1,3,2,3,1,4,3,3,4
559,5,1,5,5,1,2,2,4,2,4
560,3,1,4,2,2,1,3,1,3,2
561,2,1,4,2,3,2,2,2,3,2
562,4,2,5,5,3,2,2,4,3,4
563,3,1,4,2,3,4,2,3,3,3
564,2,1,4,2,3,1,4,3,2,5
565,2,1,3,2,2,1,3,1,1,1
566,2,1,4,2,2,2,2,2,3,2
567,2,1,5,1,3,3,2,1,3,4
568,2,1,5,1,3,3,2,1,3,4
569,2,1,4,2,3,4,3,1,1,2
570,2,2,3,2,3,4,2,1,3,3
571,2,2,5,2,3,1,2,1,3,4
572,2,2,5,1,3,4,4,3,3,3
573,2,1,4,2,3,3,2,4,3,2
574,2,3,3,3,3,3,3,2,3,3
575,2,1,4,2,3,2,3,2,3,4
576,2,1,4,2,3,4,2,1,1,2
577,2,1,3,2,2,1,3,4,3,2
578,2,1,3,2,2,1,3,4,3,2
579,2,2,3,2,3,4,3,1,3,5
580,1,2,3,2,3,1,2,2,1,2
581,2,2,4,2,3,1,3,1,3,4
582,2,2,4,2,3,4,1,4,3,2
583,1,1,3,2,4,1,4,2,3,2
584,2,2,3,2,3,3,3,1,3,4
585,3,1,5,2,3,3,2,1,3,3
586,2,2,3,2,3,1,3,3,1,2
587,2,1,2,2,3,1,1,4,3,2
588,2,2,4,2,3,2,2,1,3,3
589,2,1,5,2,3,2,2,4,3,5
590,1,2,5,2,2,1,3,1,3,2
591,2,1,4,2,3,2,2,4,2,4
592,2,1,4,2,3,1,3,4,2,2
593,1,1,2,2,2,4,3,3,3,4
594,2,2,4,2,3,1,3,2,3,3
595,1,1,3,2,3,1,3,1,3,3
596,2,1,5,2,3,3,2,2,3,3
597,2,1,3,2,3,3,3,2,3,3
598,2,1,4,2,2,1,3,2,3,2
599,2,1,2,2,2,4,3,3,3,5
600,2,1,3,2,3,4,3,1,1,4
601,2,1,4,2,3,1,1,1,3,3
602,2,2,4,1,2,1,2,2,3,3
603,2,1,5,2,3,3,2,1,3,2
604,2,1,5,2,3,3,4,3,2,4
605,2,1,2,2,2,4,1,4,3,2
606,2,2,3,2,2,1,4,2,3,2
607,2,1,3,2,2,4,3,1,1,2
608,2,1,1,2,3,1,4,2,1,5
609,2,1,4,2,2,4,1,4,1,5
610,2,1,1,4,1,1,3,2,1,5
611,2,1,4,2,2,1,2,3,3,3
612,2,1,1,2,2,2,2,4,3,3
613,2,2,2,2,3,4,4,2,3,2
614,2,1,3,2,2,1,3,2,3,2
615,2,1,4,2,2,1,2,1,1,2
616,1,2,3,2,3,1,3,2,3,5
617,2,1,3,2,2,3,3,3,3,2
618,2,1,2,2,3,4,2,3,1,5
619,2,1,4,2,2,1,3,2,1,2
620,2,1,3,2,3,2,2,3,3,5
621,2,2,2,2,3,1,2,1,3,3
622,2,2,4,2,3,1,3,4,3,4
623,2,2,3,2,2,4,4,2,1,2
624,2,2,4,2,2,1,3,2,1,5
625,2,2,3,2,3,1,4,2,1,2
626,2,1,2,4,3,4,3,1,1,5
627,2,1,3,2,3,4,1,1,3,5
628,2,2,4,2,2,1,3,4,3,4
629,2,1,5,2,3,2,2,1,3,4
630,2,1,4,2,2,2,2,4,2,3
631,2,1,4,2,3,2,2,3,2,5
632,2,1,3,2,2,4,3,1,3,2
633,2,1,1,2,4,4,4,3,3,2
634,2,2,3,2,3,1,2,2,3,5
635,2,1,5,1,3,2,3,1,3,3
636,2,2,2,2,3,1,3,1,3,2
637,2,1,4,2,4,4,3,3,3,3
638,2,1,5,2,2,1,2,2,3,4
639,2,2,3,2,3,2,2,3,3,2
640,2,2,4,2,3,1,3,1,3,3
641,2,1,5,2,2,2,2,4,2,2
642,2,1,5,3,1,4,2,4,1,4
643,2,2,3,1,3,1,3,3,3,3
644,2,1,3,1,3,1,4,4,3,5
645,2,1,4,2,4,4,4,1,1,3
646,2,2,4,2,3,3,2,3,3,2
647,2,1,1,3,1,4,1,1,1,5
648,2,1,1,2,1,1,3,4,2,3
649,2,1,3,2,3,4,3,1,3,2
650,2,1,5,2,3,2,2,1,2,3
651,2,2,3,2,3,3,2,1,3,4
652,2,2,4,2,3,2,3,2,3,5
653,2,2,3,2,2,1,3,3,2,2
654,2,2,3,2,2,1,3,1,3,2
655,2,2,5,1,2,2,3,4,3,3
656,2,1,5,2,3,2,2,4,3,4
657,2,1,3,2,3,1,1,3,3,3
658,2,2,4,1,4,4,3,1,3,3
659,2,1,1,3,1,1,3,4,2,5
660,2,1,3,4,2,1,3,4,3,2
661,2,1,1,3,1,4,4,4,1,5
662,2,2,2,2,4,2,3,4,1,5
663,5,1,3,5,3,2,3,4,3,4
664,2,1,5,1,3,2,2,1,3,3
665,2,1,5,2,3,1,3,2,3,5
666,2,2,3,2,3,1,3,1,3,3
667,2,1,4,2,3,1,3,3,3,2
668,2,2,5,1,3,1,2,1,3,3
669,2,1,4,2,3,1,3,3,3,3
670,2,1,1,4,3,1,3,1,3,5
671,2,1,5,2,3,2,2,3,1,2
672,2,1,4,2,3,1,2,1,3,3
673,2,1,4,2,2,3,2,2,3,5
674,2,1,5,2,2,4,3,1,3,2
675,2,1,4,2,3,4,3,2,2,4
676,2,1,3,2,3,1,3,4,3,3
677,2,1,3,2,3,1,3,1,3,3
678,2,1,4,1,1,4,4,4,3,2
679,2,1,3,2,3,1,3,1,1,2
680,2,1,4,2,2,4,1,4,3,5
681,2,1,4,2,3,3,3,4,3,3
682,1,1,3,2,2,3,2,3,3,2
683,2,1,4,2,3,3,2,4,3,3
684,2,1,4,2,3,4,3,1,3,5
685,2,1,5,2,3,3,3,4,3,5
686,2,1,5,1,3,2,2,2,2,4
687,2,1,3,2,3,4,3,4,1,2
688,2,1,3,2,2,2,2,3,3,3
689,1,2,1,2,3,1,3,3,3,3
690,2,1,3,1,3,1,3,4,3,2
691,2,1,2,2,3,1,3,2,3,2
692,2,1,3,2,3,1,3,4,3,5
693,2,1,4,2,3,1,2,1,3,2
694,2,2,3,2,2,1,3,4,2,5
695,2,2,3,2,2,1,1,4,1,5
696,2,2,3,2,2,1,1,4,1,5
697,2,2,2,2,4,1,3,1,3,3
698,2,1,3,2,2,1,1,2,3,5
699,1,1,5,2,3,3,2,1,3,4
700,1,1,1,3,1,4,4,4,1,4
